date,avg_temperature,avg_relative_humidity,avg_wind_speed,avg_hourly_health_index,rain,snow,avg_daily_demand,year,month,population_growth,day_of_week,is_weekend
2002-05-01,7.3,58.0,12.5,,0.2,0.0,16465625.0,2002,5,0.0,2,0
2002-05-02,6.0,69.0,27.0,,16.5,0.0,17047541.666666668,2002,5,0.0,3,0
2002-05-03,6.5,62.0,26.5,,0.0,0.0,16510791.666666666,2002,5,0.0,4,0
2002-05-04,8.4,52.5,11.0,,0.0,0.0,14767458.333333334,2002,5,0.0,5,1
2002-05-05,13.05,53.0,14.0,,0.0,0.0,14124708.333333334,2002,5,0.0,6,1
2002-05-06,17.89,64.0,16.5,,0.2,0.0,16324458.333333334,2002,5,0.0,0,0
2002-05-07,12.8,71.5,20.5,,0.0,0.0,16306416.666666666,2002,5,0.0,1,0
2002-05-08,7.95,53.5,23.0,,0.0,0.0,16344625.0,2002,5,0.0,2,0
2002-05-09,15.2,65.5,27.0,,16.8,0.0,16630958.333333334,2002,5,0.0,3,0
2002-05-10,8.65,45.5,40.5,,0.0,0.0,16188750.0,2002,5,0.0,4,0
2002-05-11,7.3,55.0,7.5,,2.6,0.0,14742875.0,2002,5,0.0,5,1
2002-05-12,7.25,75.0,18.0,,10.2,0.0,14702333.333333334,2002,5,0.0,6,1
2002-05-13,7.1,80.0,20.5,,5.4,0.0,16859083.333333332,2002,5,0.0,0,0
2002-05-14,8.05,60.5,36.5,,4.4,0.0,16877416.666666668,2002,5,0.0,1,0
2002-05-15,10.85,55.0,20.5,,0.0,0.0,16365750.0,2002,5,0.0,2,0
2002-05-16,13.3,71.0,22.5,,14.8,0.0,16553458.333333334,2002,5,0.0,3,0
2002-05-17,7.55,65.0,24.0,,0.0,0.0,15944958.333333334,2002,5,0.0,4,0
2002-05-18,5.15,55.0,24.0,,0.0,0.0,14700041.666666666,2002,5,0.0,5,1
2002-05-19,3.9,59.5,15.0,,0.0,0.0,14349041.666666666,2002,5,0.0,6,1
