date,max_temperature,avg_temperature,min_temperature,avg_relative_humidity,avg_wind_speed,avg_hourly_pressure_sea,avg_hourly_health_index,rain,snow,avg_hourly_cloud_cover_8,avg_daily_demand,year,month,population_growth,day_of_week,is_weekend
2002-05-01,14.0,7.3,0.6,58.0,12.5,101.13,,0.2,0.0,,16465625.0,2002,5,0.0,Wednesday,0
2002-05-02,10.0,6.0,2.0,69.0,27.0,100.01,,16.5,0.0,,17047541.666666668,2002,5,0.0,Thursday,0
2002-05-03,11.4,6.5,1.6,62.0,26.5,101.48,,0.0,0.0,,16510791.666666666,2002,5,0.0,Friday,0
2002-05-04,15.3,8.4,1.5,52.5,11.0,102.37,,0.0,0.0,,14767458.333333334,2002,5,0.0,Saturday,1
2002-05-05,22.0,13.05,4.1,53.0,14.0,102.16,,0.0,0.0,,14124708.333333334,2002,5,0.0,Sunday,1
2002-05-06,22.3,17.89,13.5,64.0,16.5,101.58,,0.2,0.0,,16324458.333333334,2002,5,0.0,Monday,0
2002-05-07,19.4,12.8,6.2,71.5,20.5,101.44,,0.0,0.0,,16306416.666666666,2002,5,0.0,Tuesday,0
2002-05-08,10.4,7.95,5.5,53.5,23.0,102.3,,0.0,0.0,,16344625.0,2002,5,0.0,Wednesday,0
2002-05-09,22.7,15.2,7.7,65.5,27.0,100.69,,16.8,0.0,,16630958.333333334,2002,5,0.0,Thursday,0
2002-05-10,14.5,8.65,2.8,45.5,40.5,101.88,,0.0,0.0,,16188750.0,2002,5,0.0,Friday,0
2002-05-11,13.5,7.3,1.1,55.0,7.5,103.07,,2.6,0.0,,14742875.0,2002,5,0.0,Saturday,1
2002-05-12,8.2,7.25,6.3,75.0,18.0,101.86,,10.2,0.0,,14702333.333333334,2002,5,0.0,Sunday,1
2002-05-13,8.6,7.1,5.6,80.0,20.5,100.74,,5.4,0.0,,16859083.333333332,2002,5,0.0,Monday,0
2002-05-14,11.7,8.05,4.4,60.5,36.5,100.44,,4.4,0.0,,16877416.666666668,2002,5,0.0,Tuesday,0
2002-05-15,17.4,10.85,4.3,55.0,20.5,101.61,,0.0,0.0,,16365750.0,2002,5,0.0,Wednesday,0
2002-05-16,20.1,13.3,6.5,71.0,22.5,101.01,,14.8,0.0,,16553458.333333334,2002,5,0.0,Thursday,0
2002-05-17,10.9,7.55,4.2,65.0,24.0,101.51,,0.0,0.0,,15944958.333333334,2002,5,0.0,Friday,0
2002-05-18,7.9,5.15,2.4,55.0,24.0,101.66,,0.0,0.0,,14700041.666666666,2002,5,0.0,Saturday,1
2002-05-19,8.6,3.9,-0.8,59.5,15.0,102.28,,0.0,0.0,,14349041.666666666,2002,5,0.0,Sunday,1
2002-05-20,8.6,4.25,-0.1,56.0,16.5,102.59,,0.0,0.0,,14432916.666666666,2002,5,0.0,Monday,0
2002-05-21,13.1,7.05,1.0,54.5,21.0,102.64,,0.0,0.0,,16364041.666666666,2002,5,0.0,Tuesday,0
2002-05-22,18.2,10.8,3.4,50.0,17.0,102.55,,0.0,0.0,,16270875.0,2002,5,0.0,Wednesday,0
2002-05-23,22.6,13.7,4.8,47.0,21.5,101.56,,0.0,0.0,,16274208.333333334,2002,5,0.0,Thursday,0
2002-05-24,19.2,12.45,5.7,59.5,28.0,101.31,,0.4,0.0,,16070833.333333334,2002,5,0.0,Friday,0
2002-05-25,12.6,8.15,3.7,59.5,13.0,101.97,,3.0,0.0,,14722166.666666666,2002,5,0.0,Saturday,1
2002-05-26,17.5,12.45,7.4,67.5,17.5,101.88,,0.0,0.0,,14122541.666666666,2002,5,0.0,Sunday,1
2002-05-27,22.4,14.85,7.3,55.5,9.5,102.04,,0.0,0.0,,16284625.0,2002,5,0.0,Monday,0
2002-05-28,24.4,17.89,11.4,52.5,8.5,101.98,,0.0,0.0,,16652541.666666666,2002,5,0.0,Tuesday,0
2002-05-29,25.0,19.1,13.2,63.5,9.5,101.46,,0.4,0.0,,16969791.666666668,2002,5,0.0,Wednesday,0
2002-05-30,29.0,22.3,15.6,65.0,18.5,100.91,,0.0,0.0,,17575250.0,2002,5,0.0,Thursday,0
2002-05-31,25.3,20.35,15.4,56.0,37.0,100.1,,5.8,0.0,,17241458.333333332,2002,5,0.0,Friday,0
2002-06-01,27.6,20.9,14.2,51.0,27.0,100.23,,1.6,0.0,,15435000.0,2002,6,0.0,Saturday,1
2002-06-02,17.8,13.75,9.7,51.0,25.0,100.92,,0.0,0.0,,14265958.333333334,2002,6,0.0,Sunday,1
2002-06-03,14.4,10.75,7.1,54.5,11.5,101.91,,0.0,0.0,,15970125.0,2002,6,0.0,Monday,0
2002-06-04,13.9,11.3,8.7,65.5,7.5,101.54,,6.0,0.0,,16242083.333333334,2002,6,0.0,Tuesday,0
2002-06-05,24.0,18.0,12.0,80.5,16.0,101.03,,4.4,0.0,,16610916.666666666,2002,6,0.0,Wednesday,0
2002-06-06,18.1,13.85,9.6,74.0,13.0,101.71,,0.0,0.0,,16312291.666666666,2002,6,0.0,Thursday,0
2002-06-07,20.9,14.3,7.7,54.5,6.5,102.2,,0.0,0.0,,16228875.0,2002,6,0.0,Friday,0
2002-06-08,26.3,18.55,10.8,59.0,12.0,101.97,,0.0,0.0,,15138958.333333334,2002,6,0.0,Saturday,1
2002-06-09,27.6,21.5,15.4,60.0,11.0,101.83,,0.0,0.0,,15409833.333333334,2002,6,0.0,Sunday,1
2002-06-10,23.6,18.7,13.8,63.5,9.5,101.84,,0.0,0.0,,17365583.333333332,2002,6,0.0,Monday,0
2002-06-11,31.6,23.25,14.9,65.5,23.0,100.83,,2.6,0.0,,18568791.666666668,2002,6,0.0,Tuesday,0
2002-06-12,22.3,18.14,14.0,92.0,16.0,100.81,,1.2,0.0,,17523750.0,2002,6,0.0,Wednesday,0
2002-06-13,22.7,18.7,14.7,70.5,10.0,101.06,,0.4,0.0,,16946291.666666668,2002,6,0.0,Thursday,0
2002-06-14,19.1,16.55,14.0,76.5,18.0,100.36,,1.0,0.0,,16662333.333333334,2002,6,0.0,Friday,0
2002-06-15,19.2,16.25,13.3,86.5,10.0,100.05,,12.2,0.0,,14866916.666666666,2002,6,0.0,Saturday,1
2002-06-16,18.0,15.2,12.4,84.0,21.0,100.32,,2.8,0.0,,14057958.333333334,2002,6,0.0,Sunday,1
2002-06-17,19.9,15.64,11.4,72.0,20.0,101.03,,0.0,0.0,,16137208.333333334,2002,6,0.0,Monday,0
2002-06-18,22.4,16.04,9.7,69.0,7.5,101.95,,0.0,0.0,,16493833.333333334,2002,6,0.0,Tuesday,0
2002-06-19,24.7,17.75,10.8,68.0,10.0,102.69,,0.0,0.0,,16963250.0,2002,6,0.0,Wednesday,0
2002-06-20,27.8,19.5,11.2,64.5,10.5,102.78,,0.0,0.0,,18168625.0,2002,6,0.0,Thursday,0
2002-06-21,30.1,24.05,18.0,73.0,16.0,102.58,,15.2,0.0,,18685958.333333332,2002,6,0.0,Friday,0
2002-06-22,27.1,22.45,17.8,75.5,7.5,102.42,,0.0,0.0,,16540416.666666666,2002,6,0.0,Saturday,1
2002-06-23,32.2,24.85,17.5,65.0,19.5,101.87,,0.0,0.0,,17429500.0,2002,6,0.0,Sunday,1
2002-06-24,21.9,18.45,15.0,76.5,11.0,102.03,,2.4,0.0,,18532833.333333332,2002,6,0.0,Monday,0
2002-06-25,32.1,24.2,16.3,63.5,12.0,101.64,,0.0,0.0,,19314458.333333332,2002,6,0.0,Tuesday,0
2002-06-26,31.3,25.9,20.5,73.0,25.0,100.98,,6.0,0.0,,20096541.666666668,2002,6,0.0,Wednesday,0
2002-06-27,27.5,22.95,18.4,78.5,21.0,100.53,,3.8,0.0,,19305375.0,2002,6,0.0,Thursday,0
2002-06-28,28.6,22.6,16.6,62.5,14.0,101.23,,0.0,0.0,,18449291.666666668,2002,6,0.0,Friday,0
2002-06-29,28.6,23.0,17.4,63.0,11.0,101.93,,0.0,0.0,,16846750.0,2002,6,0.0,Saturday,1
2002-06-30,32.4,25.9,19.4,60.0,10.0,101.94,,0.0,0.0,,17148541.666666668,2002,6,0.0,Sunday,1
2002-07-01,35.6,28.35,21.1,61.5,11.0,101.62,,0.0,0.0,,18508625.0,2002,7,0.0,Monday,0
2002-07-02,35.3,29.65,24.0,66.0,18.0,101.43,,0.0,0.0,,21605291.666666668,2002,7,0.0,Tuesday,0
2002-07-03,35.1,29.15,23.2,61.0,20.0,101.26,,0.0,0.0,,21975875.0,2002,7,0.0,Wednesday,0
2002-07-04,32.5,25.35,18.2,51.5,23.0,101.31,,0.0,0.0,,21037875.0,2002,7,0.0,Thursday,0
2002-07-05,25.4,20.04,14.7,57.5,24.0,102.1,,0.0,0.0,,17420625.0,2002,7,0.0,Friday,0
2002-07-06,27.5,21.4,15.3,53.0,21.5,102.2,,0.0,0.0,,16071916.666666666,2002,7,0.0,Saturday,1
2002-07-07,31.0,23.15,15.3,47.0,14.0,102.09,,0.0,0.0,,16238708.333333334,2002,7,0.0,Sunday,1
2002-07-08,33.6,26.7,19.8,53.5,17.5,101.76,,0.0,0.0,,19665625.0,2002,7,0.0,Monday,0
2002-07-09,28.9,24.0,19.1,66.0,16.5,101.36,,3.6,0.0,,19391791.666666668,2002,7,0.0,Tuesday,0
2002-07-10,24.6,19.8,15.0,50.5,21.5,102.1,,0.0,0.0,,17466000.0,2002,7,0.0,Wednesday,0
2002-07-11,25.7,19.64,13.6,54.5,17.5,102.23,,0.0,0.0,,17073208.333333332,2002,7,0.0,Thursday,0
2002-07-12,28.0,20.45,12.9,46.5,11.5,101.77,,0.0,0.0,,17430208.333333332,2002,7,0.0,Friday,0
2002-07-13,29.4,21.95,14.5,50.0,10.0,101.44,,0.0,0.0,,16655166.666666666,2002,7,0.0,Saturday,1
2002-07-14,32.9,25.04,17.2,52.0,15.0,101.36,,0.0,0.0,,17237041.666666668,2002,7,0.0,Sunday,1
2002-07-15,31.9,26.2,20.5,51.5,20.5,101.3,,0.0,0.0,,20184000.0,2002,7,0.0,Monday,0
2002-07-16,32.6,25.3,18.0,60.5,13.0,101.56,,0.0,0.0,,20316750.0,2002,7,0.0,Tuesday,0
2002-07-17,34.4,28.7,23.0,56.5,19.5,101.31,,0.0,0.0,,21506500.0,2002,7,0.0,Wednesday,0
2002-07-18,28.5,24.6,20.7,75.5,10.5,101.15,,7.8,0.0,,20223500.0,2002,7,0.0,Thursday,0
2002-07-19,28.2,23.04,17.9,62.5,15.0,101.17,,0.0,0.0,,19009458.333333332,2002,7,0.0,Friday,0
2002-07-20,27.9,22.54,17.2,57.0,13.0,101.63,,0.0,0.0,,17332041.666666668,2002,7,0.0,Saturday,1
